Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Centrifuge,CFG,0.262065,-0.7%,-4.9%,-3.6%,288823.0,94608359.0,0.0
Magic Internet Money,MIM,0.998962,-0.1%,-0.2%,-0.3%,1349704.0,93513314.0,693883791.0
Galxe,GAL,2.01,0.4%,-2.5%,0.9%,21428549.0,93355474.0,0.0
Mobox,MBOX,0.539564,0.2%,-3.5%,8.2%,14097832.0,92958941.0,538696297.0
Radicle,RAD,1.89,1.0%,2.3%,9.0%,24288453.0,92297795.0,189022065.0
Coin98,C98,0.244231,-0.1%,3.9%,4.0%,45858254.0,92004123.0,244258735.0
MX,MX,0.91884,-0.2%,-0.7%,-1.2%,152267.0,91929024.0,0.0
LCX,LCX,0.11727,-2.4%,-10.6%,16.3%,6593666.0,91393263.0,0.0
Ankr Staked ETH,ANKRETH,1628.55,0.3%,-0.1%,-2.6%,40148.0,90677001.0,0.0
Vulcan Forged,PYR,3.84,4.0%,-1.7%,-8.6%,9081589.0,89863500.0,188017047.0
Persistence,XPRT,0.611477,-0.3%,-1.5%,-4.1%,365300.0,89829137.0,246545905.0
Medibloc,MED,0.01675181,1.1%,-1.2%,-1.4%,1869859.0,89751270.0,0.0
Kaspa,KAS,0.0056008,-0.6%,-1.9%,-13.8%,1311101.0,89345042.0,0.0
SuperRare,RARE,0.145009,-0.8%,-7.0%,12.4%,9470993.0,89301021.0,145123452.0
Humanscape,HUM,0.097109,1.0%,-3.1%,-2.9%,2587292.0,88717470.0,105357897.0
Spell,SPELL,0.00079406,0.2%,-1.2%,6.8%,16243897.0,88492075.0,166772615.0
Blox,CDT,0.130677,-3.3%,-13.0%,-7.5%,92178.0,88151947.0,0.0
Dent,DENT,0.00092064,0.2%,-0.6%,0.6%,4519779.0,88005384.0,0.0
Dejitaru Tsuka,TSUKA,0.087488,-0.5%,4.1%,28.1%,1883930.0,87694494.0,87694494.0
Mdex,MDX,0.092765,-0.2%,7.1%,3.6%,9785920.0,87515639.0,0.0
Axelar,AXL,0.590436,-0.6%,-1.4%,-0.1%,1351812.0,86748369.0,0.0
WINkLink,WIN,9.004e-05,0.4%,-2.1%,-2.3%,8396447.0,86637799.0,0.0
WazirX,WRX,0.189367,0.6%,1.6%,1.5%,7567056.0,86336252.0,0.0
